x,y,z,yaw,velocity,change_flag
-9.5136,2.5987,0.8326,-1.6017,6,0
-9.5278,1.587,0.8137,-1.7122,6,0
-9.7615,0.6101,0.8432,-1.9679,6,0
-10.1967,-0.2953,0.8772,-2.262,6,0
-10.8947,-1.0144,0.8839,-2.5488,6,0
-11.7762,-1.4937,0.9268,-2.749,6,0
-12.7099,-1.8568,0.9689,-2.8398,6,0
-13.6701,-2.1555,0.9879,-2.8633,6,0
-14.6313,-2.4613,0.9932,-2.8684,6,0
-15.5905,-2.7796,0.9803,-2.78,6,0
-16.4958,-3.2218,0.9697,-2.6343,6,0
-17.3368,-3.7918,0.9309,-2.4594,6,0
-18.0465,-4.5056,0.9247,-2.2542,6,0
-18.5764,-5.372,0.8997,-2.0086,6,0
-18.8735,-6.3322,0.9324,-1.7552,6,0
-18.9489,-7.3476,0.8967,-1.563,6,0
-18.9107,-8.3693,0.9164,-1.5561,6,0
-18.8941,-9.3876,0.9414,-1.5641,6,0
-18.8752,-10.3923,1.0165,-1.5694,6,0
-18.8164,-11.4048,1.0452,-1.5679,6,0
-18.8056,-12.4297,1.0563,-1.5656,6,0
-18.7743,-13.4294,1.0901,-1.5631,6,0
-18.735,-14.4472,1.1184,-1.5603,6,0
-18.7065,-15.4527,1.1569,-1.5563,6,0
-18.6739,-16.4627,1.1894,-1.5564,6,0
-18.6328,-17.4695,1.2105,-1.5684,6,0
-18.6182,-18.4856,1.2401,-1.5747,6,0
-18.6054,-19.5236,1.2689,-1.5791,6,0
-18.599,-20.5326,1.2985,-1.5845,6,0
-18.5964,-21.5365,1.3304,-1.5859,6,0
-18.5787,-22.5539,1.3759,-1.5719,6,0
-18.5582,-23.5744,1.3844,-1.573,6,0
-18.5359,-24.5807,1.4371,-1.5789,6,0
-18.5022,-25.5889,1.4551,-1.5777,6,0
-18.487,-26.5997,1.4728,-1.5768,6,0
-18.5036,-27.6188,1.4815,-1.5847,6,0
-18.4825,-28.6227,1.5343,-1.5925,6,0
-18.4758,-29.6473,1.5635,-1.5805,6,0
-18.4867,-30.6691,1.6149,-1.5787,6,0
-18.4441,-31.682,1.6253,-1.5729,6,0
-18.3976,-32.7057,1.6485,-1.5705,6,0
-18.4135,-33.7234,1.6844,-1.5781,6,0
-18.3971,-34.7405,1.7315,-1.5826,6,0
-18.3697,-35.745,1.7618,-1.589,6,0
-18.3583,-36.75,1.7921,-1.5902,6,0
-18.3525,-37.7853,1.8183,-1.5836,6,0
-18.3146,-38.8075,1.8717,-1.5854,6,0
-18.3301,-39.8078,1.9259,-1.586,6,0
