x,y,z,yaw,velocity,change_flag,look_ahead
0.2389,-4.5449,0.1749,1.5372,5.055804636966381,0,0.3
0.1951,-4.0076,0.1736,1.6168,4.999901965266149,0,0.3
0.2046,-3.5056,0.0946,1.6807,4.69663693775038,0,0.4
0.1383,-3.0019,0.2382,1.7071,4.088804376275032,0,0.5
0.055,-2.504,0.1738,1.6731,3.715219871342754,0,0.7
0.0203,-1.9805,0.2156,1.6339,3.2304002714029316,0,0.8
-0.0942,-1.4839,0.2229,1.5705,2.9306039367929873,0,0.9
0.0221,-0.9217,0.1926,1.2067,3.4338885712555265,0,0.7
0.2399,-0.4288,0.292,0.8096,4.0810270789826095,0,0.5
0.6321,-0.0711,0.2756,0.4323,4.727646495427292,0,0.4
1.121,0.069,0.2944,0.1908,5.335220424770107,0,0.2
1.6262,0.099,0.5754,0.1405,5.681387262973931,0,0.1
2.1578,0.207,0.461,0.0994,5.554862693137354,0,0.1
2.6839999999999997,0.1692,0.3237,0.0639,5.50991886495168,0,0.1
3.2257,0.3422,0.1108,0.0305,5.137018419503624,0,0.2
3.7255,0.2486,0.0303,0.0194,4.532779653871679,0,0.4
4.2649,0.335,0.0716,0.0201,4.4020482201953826,0,0.5
4.8239,0.2865,0.08800000000000001,0.0165,3.899913408219807,0,0.6
5.3267,0.3842,0.0978,0.0082,3.715817502976538,0,0.7
5.8651,0.4229,0.0847,-0.0041,3.5642315332807906,0,0.7
6.3779,0.3565,0.0427,-0.0048,3.8664347377849038,0,0.6
6.8866,0.3888,0.0581,-0.0054,3.558534748108828,0,0.7
7.4277,0.3999,-0.0201,-0.0171,3.8840765576989056,0,0.6
7.9426,0.4331,-0.004,-0.0244,3.752796270973705,0,0.6
8.4448,0.3346,-0.0229,-0.0316,4.06770841360622,0,0.6
8.9925,0.3155,0.0178,-0.0424,4.207094832169748,0,0.5
9.5388,0.3625,-0.0073,-0.0594,4.518813399250702,0,0.4
10.0867,0.366,-0.0657,-0.085,4.59139827745935,0,0.4
10.6274,0.3691,-0.0902,-0.0924,4.486830016076862,0,0.4
11.1518,0.3894,-0.0386,-0.0831,4.536301590777343,0,0.4
11.6578,0.3808,-0.1245,-0.0753,4.320864657076106,0,0.5
12.2185,0.3745,-0.1187,-0.0642,4.225478436655802,0,0.5
12.7203,0.3819,-0.08,-0.0369,4.240718311567243,0,0.5
13.2644,0.3025,0.0329,-0.0246,4.492499622206237,0,0.4
13.8263,0.2904,-0.0024,-0.0079,4.437278720275442,0,0.4
14.3735,0.2876,-0.0482,0.0071,4.496551550602636,0,0.4
14.8749,0.34600000000000003,-0.0812,0.0112,4.427157826741016,0,0.4
15.3759,0.3689,-0.0638,0.0009,4.303063307303752,0,0.5
15.880999999999998,0.4766,-0.1078,-0.0216,4.104020704680522,0,0.5
