x,y,z,yaw,velocity,change_flag
0.2389,-4.5449,0.1749,1.5372,6,0
0.1951,-4.0076,0.1736,1.6168,6,0
0.2046,-3.5056,0.0946,1.6807,6,0
0.1383,-3.0019,0.2382,1.7071,6,0
0.055,-2.504,0.1738,1.6731,6,0
0.0203,-1.9805,0.2156,1.6339,6,0
-0.0942,-1.4839,0.2229,1.5705,6,0
0.0221,-0.9217,0.1926,1.2067,6,0
0.2399,-0.4288,0.292,0.8096,6,0
0.6321,-0.0711,0.2756,0.4323,6,0
1.121,0.069,0.2944,0.1908,6,0
1.6262,0.099,0.5754,0.1405,6,0
2.1578,0.207,0.461,0.0994,6,0
2.684,0.1692,0.3237,0.0639,6,0
3.2257,0.3422,0.1108,0.0305,6,0
3.7255,0.2486,0.0303,0.0194,6,0
4.2649,0.335,0.0716,0.0201,6,0
4.8239,0.2865,0.088,0.0165,6,0
5.3267,0.3842,0.0978,0.0082,6,0
5.8651,0.4229,0.0847,-0.0041,6,0
6.3779,0.3565,0.0427,-0.0048,6,0
6.8866,0.3888,0.0581,-0.0054,6,0
7.4277,0.3999,-0.0201,-0.0171,6,0
7.9426,0.4331,-0.004,-0.0244,6,0
8.4448,0.3346,-0.0229,-0.0316,6,0
8.9925,0.3155,0.0178,-0.0424,6,0
9.5388,0.3625,-0.0073,-0.0594,6,0
10.0867,0.366,-0.0657,-0.085,6,0
10.6274,0.3691,-0.0902,-0.0924,6,0
11.1518,0.3894,-0.0386,-0.0831,6,0
11.6578,0.3808,-0.1245,-0.0753,6,0
12.2185,0.3745,-0.1187,-0.0642,6,0
12.7203,0.3819,-0.08,-0.0369,6,0
13.2644,0.3025,0.0329,-0.0246,6,0
13.8263,0.2904,-0.0024,-0.0079,6,0
14.3735,0.2876,-0.0482,0.0071,6,0
14.8749,0.346,-0.0812,0.0112,6,0
15.3759,0.3689,-0.0638,0.0009,6,0
15.881,0.4766,-0.1078,-0.0216,0,0
