x,y,z,yaw,velocity,change_flag,look_ahead
9.4222,0.5761,0.9649,-3.1368,2.7860010937634097,0,0.9
8.9326,0.4616,0.0035,-3.1246,2.7631011561030387,0,0.9
8.4338,0.3503,-0.0084,3.0836,2.7602735497136157,0,0.9
7.9233,0.4343,0.0369,3.0875,2.794355731539603,0,0.9
7.4079,0.4034,-0.0715,3.0878,2.98305230408991,0,0.9
6.9058,0.3563,-0.042,3.0812,2.957119553156266,0,0.9
6.4051,0.3578,-0.0329,3.0773,3.210083305410426,0,0.8
5.8877,0.4006,-0.0593,3.1157,3.3736561318453973,0,0.8
5.4003,0.2876,-0.0188,3.0569,3.7394608895922707,0,0.6
4.8895,0.3195,-0.002,3.1161,3.5007239347541472,0,0.7
4.3587,0.3381,0.0928,3.1124,3.8937496785891974,0,0.6
3.7801,0.3509,0.1973,3.1189999999999998,3.7426643257931653,0,0.6
3.2619,0.4521,0.9514,3.1165,3.6497457884773254,0,0.7
2.7507,0.4415,0.3205,3.1205,3.4467603290322257,0,0.7
2.2478,0.4307,0.2925,3.1221,3.519116846102204,0,0.7
1.7316,0.4638,0.3366,-3.0205,3.290614035838059,0,0.8
1.2499,0.2243,0.3406,-2.7703,3.397636474943072,0,0.7
0.7397,0.0758,0.1647,-2.5459,3.3642304526404008,0,0.8
0.3539,-0.2766,0.1989,-2.2276,3.256165005037321,0,0.8
0.0979,-0.7466,0.1591,-1.9691,3.332650887379546,0,0.8
-0.0136,-1.25,0.1009,-1.7127,3.31398618407405,0,0.8
-0.1854,-1.7628,0.2484,-1.4369,3.263200666938497,0,0.8
-0.0237,-2.2589,0.2597,-1.3451,3.323975903300872,0,0.8
0.0151,-2.7591,0.1356,-1.3683,3.6316951240955033,0,0.7
0.1302,-3.2726,0.2049,-1.4183,3.7632688833741517,0,0.6
0.3106,-3.7875,0.1255,-1.4775,4.006522937030777,0,0.6
0.3371,-4.3165,0.12,-1.5314,4.1729255596174015,0,0.5
0.373,-4.8247,0.0826,-1.546,4.378895816178591,0,0.5
0.4143,-5.3408,0.099,-1.5617,4.221043192799732,0,0.5
0.4209,-5.8546,0.1311,-1.5884,4.129990054779408,0,0.5
0.4379,-6.3669,0.2663,-1.588,4.063293228739692,0,0.6
0.4658,-6.8701,0.2871,-1.5888,4.049286949128344,0,0.6
0.491,-7.374,0.0976,-1.5889,4.061142620007653,0,0.6
0.4788,-7.9378,0.1371,-1.591,4.1862881870706445,0,0.5
0.4848,-8.4541,0.1199,-1.5993,4.348581451382049,0,0.5
0.4643,-8.9695,0.2191,-1.6066,4.433069054424436,0,0.4
0.4784,-9.4706,0.2191,-1.6083,4.441847528318305,0,0.4
0.43799999999999994,-9.9933,0.2469,-1.6064,4.4134774808056605,0,0.5
0.4208,-10.4959,0.0899,-1.6042,4.438284068492588,0,0.4
0.3922,-11.0167,0.1449,-1.5981,4.38471494374765,0,0.5
0.3897,-11.548,0.2006,-1.5933,4.31715908619555,0,0.5
0.3818,-12.0749,0.1575,-1.5905,4.384802087163131,0,0.5
0.3996,-12.5884,0.1249,-1.5795,4.561055995770276,0,0.4
0.3963,-13.0907,0.1716,-1.5669,4.616602243688039,0,0.4
0.4008,-13.6077,0.1735,-1.5594,4.475901998027048,0,0.4
0.4424,-14.116,0.2245,-1.5486,4.639174584233978,0,0.4
0.4197,-14.6717,0.7708,-1.5498,4.447786808031446,0,0.4
0.4651,-15.1904,0.7745,-1.5545,4.476951442597896,0,0.4
0.4643,-15.7069,0.7091,-1.5553,4.542622358642819,0,0.4
0.604,-16.1907,0.0302,-1.5592,4.851677673877573,0,0.3
0.6059,-16.7264,0.0389,-1.5608,4.803658313819371,0,0.3
0.5777,-17.2425,0.1251,-1.5667,4.958836919672147,0,0.3
0.5849,-17.7664,0.1546,-1.6001,4.740936046194916,0,0.4
0.5712,-18.2837,0.1563,-1.6246,4.644423667841192,0,0.4
0.5770000000000001,-18.8153,0.2605,-1.6283,4.506681128713982,0,0.4
0.5936,-19.333,0.1035,-1.636,4.670891107211212,0,0.4
0.5507,-19.8532,0.1659,-1.6327,4.860562958903003,0,0.3
0.4751,-20.3637,0.1714,-1.6163,5.184586641248583,0,0.2
0.4947,-20.8821,0.1399,-1.6158,5.43777685946719,0,0.2
0.4945,-21.3971,0.1654,-1.6036,5.70016078873237,0,0.1
0.5095,-21.8996,0.1225,-1.5893,5.773909891675764,0,0.1
0.527,-22.4113,0.1695,-1.5869,5.894633802445028,0,0.0
0.5395,-22.955,0.1261,-1.5823,5.932275553081513,0,0.0
0.5251,-23.4618,0.0616,-1.5798,5.958904268683612,0,0.0
