x,y,z,yaw,velocity,change_flag
9.4222,0.5761,0.9649,-3.1368,6,0
8.9326,0.4616,0.0035,-3.1246,6,0
8.4338,0.3503,-0.0084,3.0836,6,0
7.9233,0.4343,0.0369,3.0875,6,0
7.4079,0.4034,-0.0715,3.0878,6,0
6.9058,0.3563,-0.042,3.0812,6,0
6.4051,0.3578,-0.0329,3.0773,6,0
5.8877,0.4006,-0.0593,3.1157,6,0
5.4003,0.2876,-0.0188,3.0569,6,0
4.8895,0.3195,-0.002,3.1161,6,0
4.3587,0.3381,0.0928,3.1124,6,0
3.7801,0.3509,0.1973,3.119,6,0
3.2619,0.4521,0.9514,3.1165,6,0
2.7507,0.4415,0.3205,3.1205,6,0
2.2478,0.4307,0.2925,3.1221,6,0
1.7316,0.4638,0.3366,-3.0205,6,0
1.2499,0.2243,0.3406,-2.7703,6,0
0.7397,0.0758,0.1647,-2.5459,6,0
0.3539,-0.2766,0.1989,-2.2276,6,0
0.0979,-0.7466,0.1591,-1.9691,6,0
-0.0136,-1.25,0.1009,-1.7127,6,0
-0.1854,-1.7628,0.2484,-1.4369,6,0
-0.0237,-2.2589,0.2597,-1.3451,6,0
0.0151,-2.7591,0.1356,-1.3683,6,0
0.1302,-3.2726,0.2049,-1.4183,6,0
0.3106,-3.7875,0.1255,-1.4775,6,0
0.3371,-4.3165,0.12,-1.5314,6,0
0.373,-4.8247,0.0826,-1.546,6,0
0.4143,-5.3408,0.099,-1.5617,6,0
0.4209,-5.8546,0.1311,-1.5884,6,0
0.4379,-6.3669,0.2663,-1.588,6,0
0.4658,-6.8701,0.2871,-1.5888,6,0
0.491,-7.374,0.0976,-1.5889,6,0
0.4788,-7.9378,0.1371,-1.591,6,0
0.4848,-8.4541,0.1199,-1.5993,6,0
0.4643,-8.9695,0.2191,-1.6066,6,0
0.4784,-9.4706,0.2191,-1.6083,6,0
0.438,-9.9933,0.2469,-1.6064,6,0
0.4208,-10.4959,0.0899,-1.6042,6,0
0.3922,-11.0167,0.1449,-1.5981,6,0
0.3897,-11.548,0.2006,-1.5933,6,0
0.3818,-12.0749,0.1575,-1.5905,6,0
0.3996,-12.5884,0.1249,-1.5795,6,0
0.3963,-13.0907,0.1716,-1.5669,6,0
0.4008,-13.6077,0.1735,-1.5594,6,0
0.4424,-14.116,0.2245,-1.5486,6,0
0.4197,-14.6717,0.7708,-1.5498,6,0
0.4651,-15.1904,0.7745,-1.5545,6,0
0.4643,-15.7069,0.7091,-1.5553,6,0
0.604,-16.1907,0.0302,-1.5592,6,0
0.6059,-16.7264,0.0389,-1.5608,6,0
0.5777,-17.2425,0.1251,-1.5667,6,0
0.5849,-17.7664,0.1546,-1.6001,6,0
0.5712,-18.2837,0.1563,-1.6246,6,0
0.577,-18.8153,0.2605,-1.6283,6,0
0.5936,-19.333,0.1035,-1.636,6,0
0.5507,-19.8532,0.1659,-1.6327,6,0
0.4751,-20.3637,0.1714,-1.6163,6,0
0.4947,-20.8821,0.1399,-1.6158,6,0
0.4945,-21.3971,0.1654,-1.6036,6,0
0.5095,-21.8996,0.1225,-1.5893,6,0
0.527,-22.4113,0.1695,-1.5869,6,0
0.5395,-22.955,0.1261,-1.5823,6,0
0.5251,-23.4618,0.0616,-1.5798,0,0
