x,y,z,yaw,velocity,change_flag,look_ahead
23.248,12.475,-0.316,-1.6332,3.4552316481431573,0,0.7
23.2092,11.9497,-0.2162,-1.6448,3.457021352921272,0,0.7
23.1307,11.4338,-0.2262,-1.6321,3.485599316586801,0,0.7
23.1246,10.9245,-0.1813,-1.626,3.326229510952082,0,0.8
23.1315,10.4086,-0.1947,-1.6231,3.362405162545983,0,0.8
23.1141,9.8979,-0.3577,-1.6168,3.1885769876445686,0,0.8
23.1412,9.3838,-0.3932,-1.6175,3.3207569656331506,0,0.8
23.1376,8.8672,-0.5011,-1.6167,3.2398753290800117,0,0.8
23.103,8.3457,-0.5386,-1.6099,3.1828074520307714,0,0.8
23.0388,7.825,-0.5808,-1.6056,3.181276070228877,0,0.8
23.0752,7.3102,-0.5342,-1.6036,3.2308752212649696,0,0.8
23.0024,6.7911,-0.513,-1.5894,3.0121579015181226,0,0.9
23.1095,6.2727,-0.4244,-1.5667,3.0276874149815605,0,0.8
23.153000000000002,5.7291,-0.3405,-1.5479,3.2433573535491016,0,0.8
23.2145,5.2152,-0.3135,-1.5301,3.317879096223201,0,0.8
23.2778,4.69,-0.3045,-1.5156,3.431220863483415,0,0.7
23.3092,4.1875,-0.1935,-1.5089,3.674879650997083,0,0.7
23.3512,3.6815,-0.1789,-1.5147,3.689044068034811,0,0.7
23.3791,3.176,-0.1625,-1.5178,3.562091158878339,0,0.7
23.3998,2.6583,-0.3513,-1.5112,3.381003453128841,0,0.7
23.444000000000003,2.1509,-0.4198,-1.5142,3.1673507122467663,0,0.8
23.4715,1.6383,-0.4612,-1.567,2.9141066476778774,0,0.9
23.45,1.1174,-0.3978,-1.7188,2.865394952909593,0,0.9
23.3818,0.6111,-0.2416,-1.9480000000000002,2.919778454880155,0,0.9
23.1575,0.1468,-0.2512,-2.2059,3.101686215477296,0,0.8
22.816,-0.262,-0.2924,-2.4776,3.325561729681487,0,0.8
22.4156,-0.5670000000000001,-0.2906,-2.7369,3.821253157697045,0,0.6
21.9238,-0.7855,-0.4603,-2.9128,3.8447964841524875,0,0.6
21.4373,-0.9026,-0.3831,-3.028,4.194200127692266,0,0.5
20.8656,-0.9274,-0.4859,-3.0848,4.613933594399262,0,0.4
20.2953,-0.9438,-0.5863,-3.1125,4.5070650561877645,0,0.4
19.7831,-0.9624,-0.4872,3.1412,4.481600564992037,0,0.4
19.2279,-0.9525,-0.4595,3.1084,4.94877361091722,0,0.3
18.6905,-0.9559,-0.5156,3.0864,4.628204425112242,0,0.4
18.1491,-0.9413,-0.4178,3.0681,4.7265631978081055,0,0.4
17.6463,-0.9059999999999999,-0.3999,3.0552,4.806181057831099,0,0.3
17.101,-0.878,-0.3113,3.0468,4.7752054441179475,0,0.3
16.5846,-0.8519,-0.425,3.0569,4.339864691711981,0,0.5
16.085,-0.8866,-0.8625,3.0622,4.632520587505982,0,0.4
15.5638,-0.8578,-0.9147,3.0644,4.091267066355559,0,0.5
15.0496,-0.8454,-0.8711,3.0797,4.007251100295238,0,0.6
14.5487,-0.8447,-0.8605,3.0946,3.617221261484492,0,0.7
14.0477,-0.8625,-0.8383,3.1107,3.984126092075885,0,0.6
13.5202,-0.8228,-0.7071,3.136,3.785594900059591,0,0.6
12.9673,-0.7945,-0.47600000000000003,-3.1233,4.191404031653998,0,0.5
12.4291,-0.826,-0.2651,-3.1071,4.291555776521091,0,0.5
11.8927,-0.8662,-0.3003,-3.1059,4.299545263796515,0,0.5
11.3851,-0.8913,-0.369,-3.1243,3.914981520532695,0,0.6
10.8938,-1.0317,-0.3802,3.1414,4.213502746586401,0,0.5
10.3696,-1.0643,-0.3575,3.1348,4.227596359461709,0,0.5
9.8563,-1.0732,-0.4411,3.1223,4.553495561653613,0,0.4
9.3524,-1.0172,-0.4568,3.1131,4.979237027360778,0,0.3
8.8513,-0.9801,-0.4244,3.1059,5.400490870437004,0,0.2
8.3248,-0.9289,-0.3798,3.1155,5.393359355852191,0,0.2
7.7859,-0.9212,-0.4423,3.1232,5.393397102270769,0,0.2
