x,y,z,yaw,velocity,change_flag
23.248,12.475,-0.316,-1.6332,6,0
23.2092,11.9497,-0.2162,-1.6448,6,0
23.1307,11.4338,-0.2262,-1.6321,6,0
23.1246,10.9245,-0.1813,-1.626,6,0
23.1315,10.4086,-0.1947,-1.6231,6,0
23.1141,9.8979,-0.3577,-1.6168,6,0
23.1412,9.3838,-0.3932,-1.6175,6,0
23.1376,8.8672,-0.5011,-1.6167,6,0
23.103,8.3457,-0.5386,-1.6099,6,0
23.0388,7.825,-0.5808,-1.6056,6,0
23.0752,7.3102,-0.5342,-1.6036,6,0
23.0024,6.7911,-0.513,-1.5894,6,0
23.1095,6.2727,-0.4244,-1.5667,6,0
23.153,5.7291,-0.3405,-1.5479,6,0
23.2145,5.2152,-0.3135,-1.5301,6,0
23.2778,4.69,-0.3045,-1.5156,6,0
23.3092,4.1875,-0.1935,-1.5089,6,0
23.3512,3.6815,-0.1789,-1.5147,6,0
23.3791,3.176,-0.1625,-1.5178,6,0
23.3998,2.6583,-0.3513,-1.5112,6,0
23.444,2.1509,-0.4198,-1.5142,6,0
23.4715,1.6383,-0.4612,-1.567,6,0
23.45,1.1174,-0.3978,-1.7188,6,0
23.3818,0.6111,-0.2416,-1.948,6,0
23.1575,0.1468,-0.2512,-2.2059,6,0
22.816,-0.262,-0.2924,-2.4776,6,0
22.4156,-0.567,-0.2906,-2.7369,6,0
21.9238,-0.7855,-0.4603,-2.9128,6,0
21.4373,-0.9026,-0.3831,-3.028,6,0
20.8656,-0.9274,-0.4859,-3.0848,6,0
20.2953,-0.9438,-0.5863,-3.1125,6,0
19.7831,-0.9624,-0.4872,3.1412,6,0
19.2279,-0.9525,-0.4595,3.1084,6,0
18.6905,-0.9559,-0.5156,3.0864,6,0
18.1491,-0.9413,-0.4178,3.0681,6,0
17.6463,-0.906,-0.3999,3.0552,6,0
17.101,-0.878,-0.3113,3.0468,6,0
16.5846,-0.8519,-0.425,3.0569,6,0
16.085,-0.8866,-0.8625,3.0622,6,0
15.5638,-0.8578,-0.9147,3.0644,6,0
15.0496,-0.8454,-0.8711,3.0797,6,0
14.5487,-0.8447,-0.8605,3.0946,6,0
14.0477,-0.8625,-0.8383,3.1107,6,0
13.5202,-0.8228,-0.7071,3.136,6,0
12.9673,-0.7945,-0.476,-3.1233,6,0
12.4291,-0.826,-0.2651,-3.1071,6,0
11.8927,-0.8662,-0.3003,-3.1059,6,0
11.3851,-0.8913,-0.369,-3.1243,6,0
10.8938,-1.0317,-0.3802,3.1414,6,0
10.3696,-1.0643,-0.3575,3.1348,6,0
9.8563,-1.0732,-0.4411,3.1223,6,0
9.3524,-1.0172,-0.4568,3.1131,6,0
8.8513,-0.9801,-0.4244,3.1059,6,0
8.3248,-0.9289,-0.3798,3.1155,6,0
7.7859,-0.9212,-0.4423,3.1232,0,0
