x,y,z,yaw,velocity,change_flag,look_ahead
-0.3569,60.7485,0.0678,-1.5674,5.513819256615534,0,0.1
-0.341,60.2334,0.0978,-1.5579,5.5615504409292384,0,0.1
-0.3422,59.7192,0.0431,-1.5659,5.417138205548436,0,0.2
-0.3369,59.1765,0.1031,-1.5672,5.288477507579579,0,0.2
-0.2835,58.632,0.0425,-1.5682,5.291374165090114,0,0.2
-0.236,58.1006,0.0042,-1.564,5.138225043693578,0,0.2
-0.199,57.5668,-0.058,-1.5589,4.850440074294136,0,0.3
-0.2181,57.031,-0.128,-1.5526,4.540134643550417,0,0.4
-0.2041,56.5051,-0.1136,-1.5499,4.149827369839592,0,0.5
-0.2089,55.9703,-0.1268,-1.5481,3.6716983748041305,0,0.7
-0.2396,55.451,-0.0627,-1.5473,3.52452336604753,0,0.7
-0.1921,54.9239,0.0063,-1.5495,3.4028657268796323,0,0.7
-0.1047,54.3926,0.0188,-1.5529,3.4971610370952875,0,0.7
-0.0928,53.8742,0.0699,-1.5561,3.5565680934874555,0,0.7
-0.0855,53.3499,0.066,-1.5546,3.711927148178359,0,0.7
-0.0619,52.8463,0.0629,-1.5549,3.7424910498748547,0,0.6
-0.0333,52.3428,0.0571,-1.5553,3.870209065332151,0,0.6
-0.0307,51.8362,0.0795,-1.5578,3.9839737135591706,0,0.6
-0.0185,51.2885,0.1057,-1.5607,4.12424707971837,0,0.5
0.0159,50.7629,0.1317,-1.5613,4.225841172382903,0,0.5
-0.0043,50.2273,0.1096,-1.5626,4.199690436153508,0,0.5
0.0014,49.6845,0.1004,-1.5631,3.956051139320493,0,0.6
0.0231,49.1426,0.0591,-1.5635,3.8346431203295155,0,0.6
0.0622,48.6426,0.0425,-1.566,3.5651184424362317,0,0.7
0.0475,48.1369,0.0523,-1.5614,3.327725279455398,0,0.8
0.077,47.6111,0.0082,-1.5567,3.3511751852271336,0,0.8
0.1213,47.0672,-0.0196,-1.5535,3.250985105408983,0,0.8
0.1656,46.5687,-0.0555,-1.5493,3.0930398464236206,0,0.8
0.1493,46.0631,-0.1463,-1.5433,3.1744937980201104,0,0.8
0.2671,45.5408,-0.0298,-1.5408,3.3238217244180506,0,0.8
0.2563,45.029,0.0855,-1.5355,3.3463706460325717,0,0.8
0.2611,44.5168,0.1843,-1.5341,3.620557105528185,0,0.7
0.3189,44.0025,-0.0091,-1.5349,3.684948049483078,0,0.7
0.3562,43.4649,0.0165,-1.5344,3.5814620934518233,0,0.7
0.398,42.9333,0.0674,-1.5371,3.6163355232279817,0,0.7
0.4329,42.4146,0.0773,-1.5416,3.556823037063082,0,0.7
0.4816,41.8761,0.1013,-1.5476,3.6405437028938508,0,0.7
0.4724,41.3748,0.0414,-1.5535,3.825968320914468,0,0.6
0.45,40.8388,0.0268,-1.5565,4.08734876071292,0,0.5
0.4648,40.2956,-0.0172,-1.5584,4.212342463397867,0,0.5
0.4815,39.7769,-0.1198,-1.565,4.196860669705961,0,0.5
0.4922,39.247,-0.1215,-1.5762,4.164428005623964,0,0.5
0.5018,38.7134,-0.0773,-1.5883,4.21206207086218,0,0.5
0.5253,38.2064,-0.0105,-1.602,4.237814220340527,0,0.5
0.5304,37.6772,-0.0278,-1.6129,4.182375068252357,0,0.5
0.5051,37.1651,-0.037,-1.6192,4.236679595576393,0,0.5
0.4852,36.636,-0.0602,-1.6278,4.28523837171194,0,0.5
0.4742,36.0891,-0.0302,-1.6351,4.213000420501983,0,0.5
0.4722,35.5668,-0.0042,-1.6431,4.193660589005228,0,0.5
0.4386,35.0594,-0.0649,-1.646,4.257304183854244,0,0.5
0.3987,34.5276,-0.0322,-1.6416,4.27883712907798,0,0.5
0.3736,33.9691,0.0391,-1.6374,4.280429419796613,0,0.5
0.3572,33.4169,0.0086,-1.6335,4.191357470880652,0,0.5
0.3476,32.8997,0.0563,-1.6302,4.2506157434167235,0,0.5
0.3235,32.3947,0.0133,-1.6275,4.254015082023385,0,0.5
0.2731,31.8679,0.01,-1.6248,4.275089516129057,0,0.5
0.2676,31.3331,-0.0507,-1.6209,4.2175646773183235,0,0.5
0.2952,30.8078,-0.0478,-1.6173,4.439314127360711,0,0.4
