x,y,z,yaw,velocity,change_flag
-0.3569,60.7485,0.0678,-1.5674,0,0
-0.3410,60.2334,0.0978,-1.5579,2.5425,0
-0.3422,59.7192,0.0431,-1.5659,2.2492,0
-0.3369,59.1765,0.1031,-1.5672,1.5839,0
-0.2835,58.6320,0.0425,-1.5682,2.3060,0
-0.2360,58.1006,0.0042,-1.5640,1.8531,0
-0.1990,57.5668,-0.0580,-1.5589,2.3663,0
-0.2181,57.0310,-0.1280,-1.5526,1.8316,0
-0.2041,56.5051,-0.1136,-1.5499,1.5707,0
-0.2089,55.9703,-0.1268,-1.5481,1.6578,0
-0.2396,55.4510,-0.0627,-1.5473,1.6003,0
-0.1921,54.9239,0.0063,-1.5495,1.5726,0
-0.1047,54.3926,0.0188,-1.5529,1.8147,0
-0.0928,53.8742,0.0699,-1.5561,1.4058,0
-0.0855,53.3499,0.0660,-1.5546,1.4789,0
-0.0619,52.8463,0.0629,-1.5549,1.4973,0
-0.0333,52.3428,0.0571,-1.5553,1.7014,0
-0.0307,51.8362,0.0795,-1.5578,1.6204,0
-0.0185,51.2885,0.1057,-1.5607,1.7316,0
0.0159,50.7629,0.1317,-1.5613,1.8253,0
-0.0043,50.2273,0.1096,-1.5626,1.3470,0
0.0014,49.6845,0.1004,-1.5631,1.7210,0
0.0231,49.1426,0.0591,-1.5635,2.0385,0
0.0622,48.6426,0.0425,-1.5660,1.4741,0
0.0475,48.1369,0.0523,-1.5614,2.2220,0
0.0770,47.6111,0.0082,-1.5567,1.6387,0
0.1213,47.0672,-0.0196,-1.5535,1.7967,0
0.1656,46.5687,-0.0555,-1.5493,2.0086,0
0.1493,46.0631,-0.1463,-1.5433,1.5809,0
0.2671,45.5408,-0.0298,-1.5408,2.0826,0
0.2563,45.0290,0.0855,-1.5355,1.8109,0
0.2611,44.5168,0.1843,-1.5341,1.8133,0
0.3189,44.0025,-0.0091,-1.5349,2.3638,0
0.3562,43.4649,0.0165,-1.5344,1.9382,0
0.3980,42.9333,0.0674,-1.5371,1.6152,0
0.4329,42.4146,0.0773,-1.5416,1.6685,0
0.4816,41.8761,0.1013,-1.5476,1.8637,0
0.4724,41.3748,0.0414,-1.5535,1.6802,0
0.4500,40.8388,0.0268,-1.5565,1.9344,0
0.4648,40.2956,-0.0172,-1.5584,1.7303,0
0.4815,39.7769,-0.1198,-1.5650,1.8503,0
0.4922,39.2470,-0.1215,-1.5762,1.8580,0
