x,y,z,yaw,velocity,change_flag,look_ahead
0.3313,-4.2557,-0.0672,1.6109,6,0,0.4
0.3562,-3.743,-0.0416,1.6102,6,0,0.4
0.2659,-3.2358,0.011,1.5899,6,0,0.5
0.2555,-2.723,0.019,1.5806,6,0,0.7
0.2275,-2.1982,0.0928,1.5685,6,0,0.8
0.2152,-1.6542,-0.0205,1.5271,6,0,0.8
0.2367,-1.1531,-0.1233,1.2658,6,0,0.8
0.5127,-0.7117,-0.1102,0.8718,6,0,0.6
0.921,-0.35,-0.1106,0.4798,6,0,0.5
1.3767,-0.1356,-0.0185,0.1275,6,0,0.3
1.8965,-0.0603,-0.0892,0.0397,6,0,0.2
2.4143,-0.0801,-0.0036,0.0557,6,0,0.1
2.9549,-0.0337,-0.1493,0.0535,6,0,0.1
3.5111,0.0205,0.0849,0.0469,6,0,0.2
4.0256,0.0126,-0.018,0.0473,6,0,0.2
4.5495,0.0646,0.0681,0.0444,6,0,0.3
5.0866,0.0566,-0.2923,0.0351,6,0,0.5
5.6479,0.1239,-0.1017,0.0294,6,0,0.6
6.1894,0.1803,-0.1975,0.0223,6,0,0.6
6.7303,0.2195,-0.2897,0.0249,6,0,0.7
7.2604,0.3431,-0.715,0.0134,6,0,0.6
7.8016,0.3034,-0.5204,0.0034,6,0,0.6
8.308,0.3363,-0.3853,-0.0036,6,0,0.5
8.8479,0.326,-0.4436,-0.0116,6,0,0.6
9.3545,0.4501,-0.6724,-0.0302,6,0,0.6
9.8728,0.4184,-0.4487,-0.0352,6,0,0.6
10.4182,0.4497,-0.6364,-0.0395,6,0,0.5
10.9482,0.4196,-0.5824,-0.0312,6,0,0.6
11.4654,0.3687,-0.2556,-0.0273,6,0,0.5
12.0016,0.4031,0.0214,-0.013,6,0,0.4
12.5479,0.342,-0.2339,0.0035,6,0,0.4
13.0496,0.3658,-0.3366,0.0253,6,0,0.4
13.555,0.4054,-0.3837,0.0399,6,0,0.4
14.0921,0.4421,-0.2882,0.0336,6,0,0.4
14.6081,0.4609,-0.3058,0.0334,6,0,0.5
15.1024,0.5367,-0.2205,0.0239,6,0,0.6
15.6064,0.5802,-0.3,0.0186,6,0,0.7
16.1334,0.5476,-0.2354,0.0021,6,0,0.8
16.6414,0.5306,-0.2403,-0.004,0,0,0.8
