x,y,z,yaw,velocity,change_flag
-45.4779,19.877,0.0504,-0.0368,6,0
-44.9581,19.8258,0.2042,-0.0456,6,0
-44.4288,19.812,0.1154,-0.0447,6,0
-43.8954,19.7969,0.0314,-0.0429,6,0
-43.3382,19.7831,0.0532,-0.0442,6,0
-42.831,19.8006,0.1271,-0.0496,6,0
-42.314,19.7028,0.1412,-0.0575,6,0
-41.7887,19.7064,0.1385,-0.076,6,0
-41.2615,19.7425,0.0917,-0.0957,6,0
-40.7517,19.6674,-0.0638,-0.1102,6,0
-40.2165,19.6355,-0.1503,-0.1233,6,0
-39.7128,19.6389,-0.1086,-0.1333,6,0
-39.2013,19.5152,-0.2388,-0.1411,6,0
-38.6705,19.4736,-0.206,-0.1456,6,0
-38.1419,19.3734,-0.2415,-0.1453,6,0
-37.6337,19.3711,-0.2743,-0.1432,6,0
-37.0867,19.337,-0.1456,-0.137,6,0
-36.5493,19.1995,-0.1019,-0.1267,6,0
-36.0086,19.1617,-0.1041,-0.1217,6,0
-35.4914,19.1307,-0.1408,-0.1097,6,0
-34.9583,19.0854,-0.1033,-0.1029,6,0
-34.4552,19.0627,-0.0384,-0.0938,6,0
-33.948,19.0763,-0.1234,-0.0819,6,0
-33.4555,18.897,0.0085,-0.072,6,0
-32.9507,18.8822,-0.0087,-0.0651,6,0
-32.4283,18.8599,0.0824,-0.0599,6,0
-31.8758,18.9637,-0.1166,-0.0574,6,0
-31.3515,18.9718,-0.3151,-0.0521,6,0
-30.8503,18.9172,-0.2527,-0.0554,6,0
-30.3405,18.8241,-0.1636,-0.0504,6,0
-29.8,18.8649,-0.2169,-0.0521,6,0
-29.2776,18.8777,-0.2706,-0.0514,6,0
-28.7621,18.8765,-0.3156,-0.0518,6,0
-28.2245,18.8663,-0.1708,-0.0534,6,0
-27.7208,18.8765,-0.2495,-0.0557,6,0
-27.1731,18.8519,-0.2781,-0.049,6,0
-26.6527,18.8229,-0.2946,-0.0428,6,0
-26.1407,18.8181,-0.2405,-0.0384,6,0
-25.6353,18.8214,-0.1712,-0.0341,6,0
-25.08,18.7825,-0.3217,-0.0294,6,0
-24.566,18.7676,-0.2549,-0.0224,6,0
-24.0542,18.7957,-0.2083,-0.0204,6,0
-23.5523,18.8426,-0.1845,-0.0194,6,0
-23.0411,18.7716,-0.3019,-0.0093,6,0
-22.5054,18.7934,-0.2621,-0.0033,6,0
-22.0026,18.8248,-0.2161,0.0009,6,0
