x,y,z,yaw,velocity,change_flag,look_ahead
0.3313,-4.2557,-0.0672,1.6109,6.212807300157969,0,0.4
0.3562,-3.7430000000000003,-0.0416,1.6102,5.972720904994357,0,0.4
0.2659,-3.2358,0.011000000000000001,1.5899,5.3250614095042055,0,0.5
0.2555,-2.7230000000000003,0.019,1.5806,4.51445979576052,0,0.7
0.2275,-2.1982,0.0928,1.5685,3.9629945411397336,0,0.8
0.2152,-1.6542,-0.0205,1.5271,3.510776113639302,0,0.8
0.2367,-1.1531,-0.1233,1.2658,3.610863865919777,0,0.8
0.5127,-0.7117,-0.1102,0.8718,4.763979180411056,0,0.6
0.9209999999999999,-0.35,-0.1106,0.4798,5.734576645908552,0,0.5
1.3767,-0.1356,-0.0185,0.1275,6.625101532263047,0,0.3
1.8965,-0.0603,-0.0892,0.0397,7.362285796000553,0,0.2
2.4143,-0.0801,-0.0036,0.0557,7.784441173052467,0,0.1
2.9549,-0.0337,-0.1493,0.0535,7.6279878320912555,0,0.1
3.5111,0.0205,0.0849,0.0469,7.3344123710319735,0,0.2
4.0256,0.0126,-0.018000000000000002,0.0473,7.161174110820749,0,0.2
4.5495,0.0646,0.0681,0.0444,6.439059986956821,0,0.3
5.0866,0.0566,-0.2923,0.0351,5.671825617541858,0,0.5
5.6479,0.1239,-0.1017,0.0294,4.971454267025798,0,0.6
6.1894,0.1803,-0.1975,0.0223,4.891454383218651,0,0.6
6.7303,0.2195,-0.2897,0.0249,4.591446398687073,0,0.7
7.2604,0.3431,-0.715,0.0134,4.866806208618056,0,0.6
7.8016,0.3034,-0.5204,0.0034,4.959502759857818,0,0.6
8.308,0.3363,-0.3853,-0.0036,5.252061665296332,0,0.5
8.8479,0.326,-0.4436,-0.0116,5.011949707626814,0,0.6
9.3545,0.4501,-0.6724,-0.0302,4.932080934295508,0,0.6
9.8728,0.4184,-0.4487,-0.0352,4.929949845750217,0,0.6
10.4182,0.4497,-0.6364,-0.0395,5.292517945632762,0,0.5
10.9482,0.4196,-0.5824,-0.0312,5.064769781113714,0,0.6
11.4654,0.3687,-0.2556,-0.0273,5.657709539521589,0,0.5
12.0016,0.4031,0.0214,-0.013000000000000001,6.088175324010612,0,0.4
12.5479,0.342,-0.2339,0.0035,6.120520327011165,0,0.4
13.0496,0.3658,-0.3366,0.0253,6.185941232580275,0,0.4
13.555,0.4054,-0.3837,0.0399,6.342660746030794,0,0.4
14.0921,0.4421,-0.2882,0.0336,5.911892647208017,0,0.4
14.6081,0.4609,-0.3058,0.0334,5.431250320712321,0,0.5
15.1024,0.5367,-0.2205,0.0239,4.90498918313814,0,0.6
15.6064,0.5802,-0.3,0.0186,4.258880765612595,0,0.7
16.1334,0.5476,-0.2354,0.0021,3.992719003399851,0,0.8
16.6414,0.5306,-0.2403,-0.004,3.6251556336220574,0,0.8
