x,y,z,yaw,velocity,change_flag,look_ahead
4.3039,0.6478,-0.0405,-0.0066,5.508274091118306,0,0.5
5.3299,0.5864,0.0821,-0.0323,5.062275968710814,0,0.6
6.349,0.5327,0.1531,-0.0936,4.719922888761343,0,0.6
7.3556,0.4844,0.2223,-0.1453,4.5241112928244736,0,0.7
8.34,0.2887,0.1725,-0.1368,4.424684844172377,0,0.7
9.3502,0.1872,0.0494,-0.108,4.432566789375718,0,0.7
10.3548,0.0941,-0.1873,-0.0769,4.694840850541256,0,0.6
11.3553,0.1875,-0.2202,-0.069,5.258514513054982,0,0.5
12.3785,0.0967,-0.2729,-0.0592,5.364409766757811,0,0.5
13.3958,0.1038,-0.0939,-0.0531,5.455899860655709,0,0.5
14.4407,0.1127,-0.0189,-0.0465,5.568802070598348,0,0.5
15.4677,-0.0178,-0.0089,-0.0601,5.702509671227146,0,0.5
16.4808,0.045,-0.0364,-0.0851,5.684168456642928,0,0.5
17.5203,-0.0083,0.2212,-0.1212,5.830201983755672,0,0.4
18.5166,-0.1216,0.2254,-0.1677,6.241932707633474,0,0.4
19.5183,-0.2911,0.0871,-0.1881,6.294135706344318,0,0.4
20.5172,-0.4523,0.0909,-0.1595,6.455394723866567,0,0.3
21.5571,-0.5987,0.0642,-0.1338,6.68367776139085,0,0.3
22.5816,-0.7602,0.1072,-0.1216,6.70739964908126,0,0.3
23.5819,-0.8897,0.2062,-0.1004,6.9003232063723905,0,0.3
24.5925,-0.9164,0.2602,-0.0832,7.354682063549824,0,0.2
25.5973,-0.9795,0.203,-0.0701,7.75258506393557,0,0.1
26.6404,-1.029,0.337,-0.0484,7.828069404058264,0,0.1
27.6989,-1.0554,0.274,-0.0477,7.392922709622381,0,0.2
28.7424,-1.0958,0.3157,-0.0399,6.880917151621268,0,0.3
29.7855,-1.077,0.2918,-0.0179,6.415505941688461,0,0.3
30.8062,-1.1017,0.4598,-0.0016,5.682008471114527,0,0.5
31.8274,-1.0647,0.4423,0.0018,5.178745031857848,0,0.6
32.8218,-0.9378,0.5069,-0.005,5.2444663695860685,0,0.5
33.8396,-0.9506,0.5159,-0.0082,5.068623938092539,0,0.6
34.8809,-0.8509,0.4497,-0.0318,5.231150955164441,0,0.5
35.8801,-0.9626,0.3726,-0.0179,5.265332279517512,0,0.5
36.9002,-0.9383,0.3989,-0.0348,5.378014894063537,0,0.5
37.9029,-0.9541,0.3908,-0.029,5.514992072506998,0,0.5
38.9074,-1.0663,0.3803,-0.029,5.691184885865254,0,0.5
39.9413,-1.0959,0.3137,-0.0505,5.226083907338916,0,0.5
40.9794,-1.0848,0.3682,-0.0768,4.924389622479946,0,0.6
42.0022,-1.1662,0.5253,-0.0919,4.513493351942852,0,0.7
43.0597,-1.122,0.3621,-0.0455,4.062045290524306,0,0.7
44.0826,-1.1433,0.5769,0.1837,3.65960841031564,0,0.8
45.0508,-0.8895,0.6579,0.4018,3.3992463434726687,0,0.9
45.9398,-0.4184,0.6518,0.762,3.2089684390590474,0,0.9
46.5268,0.4327,0.4738,1.1139,3.0722800065737776,0,0.9
46.8161,1.4447,2.0084,1.4996,2.8557290105288082,0,0.9
46.7276,2.4517,2.2365,1.5264,2.69687466561974,0,1.0
46.7285,3.4527,2.1937,1.5132,2.649580126904511,0,1.0
