x,y,z,yaw,velocity,change_flag,look_ahead
-17.0118,2.4425,0.7883,-1.5229,3.0746784176946806,0,0.8
-16.9957,1.9127,0.7263,-1.7042,3.0746811529315563,0,0.8
-17.1357,1.4288,0.7323,-1.9906,2.931649950414668,0,0.8
-17.442999999999998,0.9645,0.7529,-2.1525,2.8018935850323476,0,0.8
-17.7268,0.5358,0.7206,-2.2213,2.6827518195803552,0,0.9
-18.0561,0.1395,0.7642,-2.1853,2.6996351864178063,0,0.9
-18.3986,-0.2768,0.8165,-1.9917,2.8633199773717433,0,0.8
-18.5789,-0.7936,0.7964,-1.805,3.228768370948479,0,0.8
-18.6605,-1.3355,0.7941,-1.6663,3.8545231384132475,0,0.6
-18.7306,-1.8525,0.7736,-1.5959999999999999,4.363550020903263,0,0.5
-18.7852,-2.3847,0.7709,-1.5538,4.492684647383579,0,0.5
-18.7793,-2.9252,0.8057,-1.5228,4.332145959748573,0,0.5
-18.7665,-3.4514,0.8296,-1.5184,4.26591491763747,0,0.5
-18.7771,-3.9874,0.8151,-1.5229,3.9739306091749063,0,0.6
-18.7842,-4.504,0.8345,-1.556,4.023816414741766,0,0.6
-18.8223,-5.0414,0.7967,-1.5862,4.290999490995184,0,0.5
-18.8856,-5.6001,0.8587,-1.5792,4.8045629707303705,0,0.4
-18.9073,-6.1456,0.866,-1.5581,5.036712449303056,0,0.4
-18.9112,-6.6908,0.8419,-1.5394,5.353039061729001,0,0.3
-18.9185,-7.1961,0.8632,-1.5314,5.216038654141093,0,0.4
-18.9171,-7.7304,0.8481,-1.5252,5.131848770582416,0,0.4
-18.9302,-8.2581,0.9206,-1.5197,4.649217350206259,0,0.5
-18.9016,-8.7815,0.9083,-1.5241,4.488265615707762,0,0.5
-18.9046,-9.3604,0.9277,-1.5323,4.480896236211401,0,0.5
-18.9343,-9.9126,0.9382,-1.5404,4.691156805360983,0,0.5
-18.9568,-10.4209,0.9378,-1.5482,4.68559808172001,0,0.5
-18.9421,-10.9261,0.9544,-1.5558,5.116442438479259,0,0.4
-18.9708,-11.4855,0.9755,-1.5619999999999998,5.094084411468452,0,0.4
-18.9712,-12.0346,0.9906,-1.568,4.803783191540493,0,0.4
-19.0105,-12.5555,0.9804,-1.5726,4.846770177496765,0,0.4
-19.0391,-13.0805,0.9997,-1.5646,5.01016520004063,0,0.4
-19.0642,-13.5872,1.0090000000000001,-1.5379,5.09020708247819,0,0.4
-19.0682,-14.0899,1.0452,-1.5116,5.38915619494104,0,0.3
