x,y,z,yaw,velocity,change_flag,look_ahead
-17.0118,2.4425,0.7883,-1.5229,3.9611666814073954,0,0.7
-16.9957,1.9127,0.7263,-1.7042,4.079619697247537,0,0.6
-17.1357,1.4288,0.7323,-1.9906,3.9898839443631537,0,0.7
-17.442999999999998,0.9645,0.7529,-2.1525,3.924629371528808,0,0.7
-17.7268,0.5358,0.7206,-2.2213,3.8255726409187907,0,0.7
-18.0561,0.1395,0.7642,-2.1853,3.8112527831154948,0,0.7
-18.3986,-0.2768,0.8165,-1.9917,3.687019311427796,0,0.8
-18.5789,-0.7936,0.7964,-1.805,3.68831800294981,0,0.8
-18.6605,-1.3355,0.7941,-1.6663,3.8879647493078844,0,0.7
-18.7306,-1.8525,0.7736,-1.5959999999999999,4.189226208820235,0,0.6
-18.7852,-2.3847,0.7709,-1.5538,4.278990646033734,0,0.6
-18.7793,-2.9252,0.8057,-1.5228,4.424952549055676,0,0.5
-18.7665,-3.4514,0.8296,-1.5184,4.676470817916817,0,0.4
-18.7771,-3.9874,0.8151,-1.5229,4.66036488385018,0,0.4
-18.7842,-4.504,0.8345,-1.556,4.54205053239943,0,0.5
-18.8223,-5.0414,0.7967,-1.5862,4.45266284682677,0,0.5
-18.8856,-5.6001,0.8587,-1.5792,4.504242470880745,0,0.5
-18.9073,-6.1456,0.866,-1.5581,4.481835659777027,0,0.5
-18.9112,-6.6908,0.8419,-1.5394,4.686814554163979,0,0.4
-18.9185,-7.1961,0.8632,-1.5314,4.752543224197946,0,0.4
-18.9171,-7.7304,0.8481,-1.5252,4.870652047131376,0,0.4
-18.9302,-8.2581,0.9206,-1.5197,4.832864461055733,0,0.4
-18.9016,-8.7815,0.9083,-1.5241,4.934881791562714,0,0.4
-18.9046,-9.3604,0.9277,-1.5323,4.91740566337877,0,0.4
-18.9343,-9.9126,0.9382,-1.5404,4.853621898077082,0,0.4
-18.9568,-10.4209,0.9378,-1.5482,4.6655212650230125,0,0.4
-18.9421,-10.9261,0.9544,-1.5558,4.75813020877643,0,0.4
-18.9708,-11.4855,0.9755,-1.5619999999999998,4.704970641599756,0,0.4
-18.9712,-12.0346,0.9906,-1.568,4.619514644015462,0,0.5
-19.0105,-12.5555,0.9804,-1.5726,4.790264342377567,0,0.4
-19.0391,-13.0805,0.9997,-1.5646,4.882447238253828,0,0.4
-19.0642,-13.5872,1.0090000000000001,-1.5379,4.803493579428291,0,0.4
-19.0682,-14.0899,1.0452,-1.5116,4.840250574803654,0,0.4
-19.0364,-14.6141,1.0524,-1.4933,5.000337356684851,0,0.3
-19.0279,-15.1243,1.0584,-1.4824,5.042215576571503,0,0.3
-19.0095,-15.6713,1.0765,-1.4803,5.227155478219213,0,0.3
-18.9838,-16.177,1.1017,-1.4796,5.310692274713556,0,0.2
